instant,date,season,yr,mnth,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,yquery
1,2/1/2013,1,0,1,6,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0
2,2/2/2013,1,0,1,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,0
3,2/3/2013,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0
4,2/4/2013,1,0,1,2,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0
5,2/5/2013,1,0,1,3,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0
6,2/6/2013,1,0,1,4,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0
7,2/7/2013,1,0,1,5,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0
8,2/8/2013,1,0,1,6,2,0.165,0.162254,0.535833,0.266804,68,891,959,0
9,2/9/2013,1,0,1,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,0
10,2/10/2013,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0
11,2/11/2013,1,0,1,2,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0
12,2/12/2013,1,0,1,3,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0
13,2/13/2013,1,0,1,4,1,0.165,0.150883,0.470417,0.301,38,1368,1406,0
14,2/14/2013,1,0,1,5,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0
15,2/15/2013,1,0,1,6,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0
